ET|TO
M06-24-003-0013-H-PPA-KA-028|wa'atsin yán i bichow ban ijtaláb
M06-24-003-0013-H-PPA-KA-029|ne'ets ka wa'atsin k'wajay mimláb k'al jún i mulkuntaláb
M06-24-003-0013-H-PPA-KA-030|ne'ets ka k'wajay tsapik an áb abal k'al dhajuw
M06-24-003-0013-H-PPA-KA-031|naná' in jik'él
M06-24-003-0013-H-PPA-KA-032|naná' in k'wajinek jik'él
M06-24-003-0013-H-PPA-KA-033|an mimláb in kó'oy jik'eltaláb
M06-24-003-0013-H-PPA-KA-034|an tsakam ne'ets kin ko'oy jik'eltaláb
M06-24-003-0013-H-PPA-KA-035|an waliláb ts'owadh k'al an k'ak'al 
M06-24-003-0013-H-PPA-KA-036|an te' mutsikinének tam ts'ejel
M06-24-003-0013-H-PPA-KA-037|an tsanak'w tek'ets k'al an k'amal
M06-24-003-0013-H-PPA-KA-038|an píta' u tek'el k'al i ja'
M06-24-003-0013-H-PPA-KA-039|an walil an ko'nél ne'ets ka tek'ets k'al an tsanak'w
M06-24-003-0013-H-PPA-KA-040|an bakan k'wajat ti tek'el xowé'
M06-24-003-0013-H-PPA-KA-041|an pik'o' tsemets
M06-24-003-0013-H-PPA-KA-042|an mitsu' ta tsemnek
M06-24-003-0013-H-PPA-KA-043|u ts'ojólil k'wajat ti tsemel
M06-24-003-0013-H-PPA-KA-044|u ts'ojólil ne'ets ka tsemets kunib k'wal an ja'
M06-24-003-0013-H-PPA-KA-045|an te' wayey
M06-24-003-0013-H-PPA-KA-046|u witsál k'wajat ti wayel
M06-24-003-0013-H-PPA-KA-047|an aljats k'wajat ti wayel
M06-24-003-0013-H-PPA-KA-048|an itse' púlik nixé' waynek yán i xi watey a k'ichá
M06-24-003-0013-H-PPA-KA-049|an yejtse inik uts'álil
M06-24-003-0013-H-PPA-KA-050|an yejtse inik k'wajat ti uts'ál
M06-24-003-0013-H-PPA-KA-051|an yejtse inik ne'ets ka uts'álil
M06-24-003-0013-H-PPA-KA-052|an yejtse inik uts'alnenek pil a k'ichá
M06-24-003-0013-H-PPA-KA-053|an ts'ojól puwey
M06-24-003-0013-H-PPA-KA-054|an ts'ojól u puwel wachik ka k'ichá'
M06-24-003-0013-H-PPA-KA-055|an tsipi kwitól ne'ets ka puwey k'al an tamub
M06-24-003-0013-H-PPA-KA-056|an tsakam puwenek ani in t'ojnal exé' an tamub
M06-24-003-0013-H-PPA-KA-057|an pik'o' in k'wal i jáyil
M06-24-003-0013-H-PPA-KA-058|an pik'o' k'wajatak k'a'íl
M06-24-003-0013-H-PPA-KA-059|an pik'o' i bin kó'íl yajil tam dhamdhúl
M06-24-003-0013-H-PPA-KA-060|an pik'o' k'wajinek k'a'íl al an tamub
M06-24-003-0013-H-PPA-KA-060|an ts'ulel t'ay
M06-24-003-0013-H-PPA-KA-062|an ts'ulel k'wajat ti t'a'íl
M06-24-003-0013-H-PPA-KA-063|an ts'ulel ne'ets ka t'ay max ka ulits an k'amal
M06-24-003-0013-H-PPA-KA-064|an tsabál t'aynek patal an tamub
M06-24-003-0013-H-PPA-KA-065|an mimláb ts'akiy dhajuw
M06-24-003-0013-H-PPA-KA-066|an mimláb k'wajat ti ts'akíl xowé'
M06-24-003-0013-H-PPA-KA-067|an mimláb ts'akiynekits tin waytal
M06-24-003-0013-H-PPA-KA-068|an mimláb ne'ets ka ts'akiy tam yab u ya'ul
M06-24-003-0013-H-PPA-KA-069|an ts'oat u ulits
M06-24-003-0013-H-PPA-KA-070|an kwitól ulel patal a k'ichá
M06-24-003-0013-H-PPA-KA-071|an ól inik ulnek wé' wakal tam  u t'ajal an belpextaláb
M06-24-003-0013-H-PPA-KA-072|an ts'ale ne'ets ka ulits wakal tin k'imá'
M06-24-003-0013-H-PPA-KA-073|an mimláb k'wajat ti ulel exé' xe xokan an tu k'wajat
M06-24-003-0013-H-PPA-KA-074|an exóbchix  wichel ta martes
M06-24-003-0013-H-PPA-KA-075|an exóbchix ne'ets ka wichiy ma ta junio
M06-24-003-0013-H-PPA-KA-076|an exóbchix wichiynek patal an tamub
M06-24-003-0013-H-PPA-KA-077|an exóbchix ne'ets ka wichiy max ka jalbiyat
M06-24-003-0013-H-PPA-KA-078|an olom u t'uedh k'al an idhidh
M06-24-003-0013-H-PPA-KA-079|an olom t'u'un xi watey an its'
M06-24-003-0013-H-PPA-KA-080|an olom t'u'unek k'al an kwatsam
M06-24-003-0013-H-PPA-KA-081|an olom ne'ets ka t'u'un max ka pidha' max i k'apnél
M06-24-003-0013-H-PPA-KA-082|an olom u jik'tsonal katachik tsiliy
M06-24-003-0013-H-PPA-KA-083|a olom jik'ey ti dhamdhúl
M06-24-003-0013-H-PPA-KA-084|an olom ne'ets ka jik'ey k'al k'e'a' ti ko'nél
M06-24-003-0013-H-PPA-KA-085|an olom k'wajinek jik'enek patal a k'ichá
M06-24-003-0013-H-PPA-KA-086|tatá' tin tsu'uw
M06-24-003-0013-H-PPA-KA-087|naná' tu tsu'uw
M06-24-003-0013-H-PPA-KA-088|jajá' in tsu'uw
M06-24-003-0013-H-PPA-KA-089|Juan tu tsu'uw
M06-24-003-0013-H-PPA-KA-090|Juan ti tsu'uwchik xaxá'
M06-24-003-0013-H-PPA-KA-091|Juan in tsu'uwchik jajá'
M06-24-003-0013-H-PPA-KA-092|an ts'ik'ách ne'ets kin tsu'uw jún i pik'o'
M06-24-003-0013-H-PPA-KA-093|an tsakam in k'apalchik an bakan
M06-24-003-0013-H-PPA-KA-094|a María ti nujchiy jún i ko'nél píta'
M06-24-003-0013-H-PPA-KA-095|María ti nujchal jún i k'imá'
M06-24-003-0013-H-PPA-KA-096|a María in pidhál a Guadalupe jún i wits
M06-24-003-0013-H-PPA-KA-097|Carmen ne'ets kin pidha' an ja' an pik'o'
M06-24-003-0013-H-PPA-KA-098|a papá ne'ets ku ts'ejwaliy i waliláb
M06-24-003-0013-H-PPA-KA-099|a papá tu ts'ejwaliy i k'apnél
M06-24-003-0013-H-PPA-KA-100|José tu ts'a'ichiy xaxá' jún i matsetchik
M06-24-003-0013-H-PPA-KA-101|José ne'ets ti ts'a'ichichiy jún i pakax
M06-24-003-0013-H-PPA-KA-102|an bichim u ádhil tsapik
M06-24-003-0013-H-PPA-KA-103|an bichim k'wajinek ti ádhil yaníl
M06-24-003-0013-H-PPA-KA-104|an bichim ne'ets ka k'ale ti ubat ti ádhil
M06-24-003-0013-H-PPA-KA-105|an bichim adhláts k'alen jik'elomtaláb
M06-24-003-0013-H-PPA-KA-106|an ts'ik'ách u belal kwetém
M06-24-003-0013-H-PPA-KA-107|an ts'ik'ách belámadh in t'ajal jún i tamub
M06-24-003-0013-H-PPA-KA-108|an ts'ik'ách beláts al alté'
M06-24-003-0013-H-PPA-KA-109|an ts'ik'ách ne'ets ka k'ale ma ti bichow
M06-24-003-0013-H-PPA-KA-110|an to'ol u achim al an púlik itse'
M06-24-003-0013-H-PPA-KA-111|an to'ol ne'ets ti ubat k'al an ja'
M06-24-003-0013-H-PPA-KA-112|an tsakamchik ubatnenek k'al an ja' ma ti watey an tamub
M06-24-003-0013-H-PPA-KA-113|an kwitólchik ubat in k'al an ja' ti we'él
M06-24-003-0013-H-PPA-KA-114|an tsakam unibkanal wilk'idh
M06-24-003-0013-H-PPA-KA-115|an mimláb unibkanál yaníl
M06-24-003-0013-H-PPA-KA-116|an kwitól kutlenenek k'al an lápidhal
M06-24-003-0013-H-PPA-KA-117|an kwitól ne'ets ka kutlen k'al an lápiz
M06-24-003-0013-H-PPA-KA-118|an yejtse inik u wixk'onal  tam k'apul
M06-24-003-0013-H-PPA-KA-119|an yejtse inik wichk'oláts
M06-24-003-0013-H-PPA-KA-120|an tsakam ne'ets ka juts'kon tam ne'ets ka kwachin in polól
M06-24-003-0013-H-PPA-KA-121|kwitól wichk'onenek tam ka ets'e
M06-24-003-0013-H-PPA-KA-122|an tsakam u wayal ti waxik
M06-24-003-0013-H-PPA-KA-123|an tsakam waypin k'ijíliy
M06-24-003-0013-H-PPA-KA-124|an tsakam ne'ets ka wayits tam ka tal i ti k'apul
M06-24-003-0013-H-PPA-KA-125|an tsakam wayámadh in jún chikíl
M06-24-003-0013-H-PPA-KA-126|an exóbchix u ya'ul tam ka belats
M06-24-003-0013-H-PPA-KA-127|an exóbchix ya'ulats k'al an k'apnél
M06-24-003-0013-H-PPA-KA-128|an exóbchix ya'ulámadh yaníl exé' an tamub
M06-24-003-0013-H-PPA-KA-129|an exóbchix ne'ets ka ya'ulats k'al nixé' xi ja'
M06-24-003-0013-H-PPA-KA-130|an pik'o' u tsek'el tam u ádhil
M06-24-003-0013-H-PPA-KA-131|an pik'o' tsek'et tam ti tal i ti ádhil
M06-24-003-0013-H-PPA-KA-132|an pik'o' ne'ets ka tsek'e tam ka adhláts antsaná'
M06-24-003-0013-H-PPA-KA-133|an pik'o' tsek'enek wijits
M06-24-003-0013-H-PPA-KA-134|k'wajat ti ixk'ák
M06-24-003-0013-H-PPA-KA-135|an tsakam ne'ets ka ixk'aláts tam ka wa'tsin
M06-24-003-0013-H-PPA-KA-136|an tsakam yaníl ixk'alámadh dhubat
M06-24-003-0013-H-PPA-KA-137|an tsakam ixk'aláts tam ti wa'tsin
M06-24-003-0013-H-PPA-KA-138|an to'ol u ixk'ál al an ja'
M06-24-003-0013-H-PPA-KA-139|in achim patal a k'ichá
M06-24-003-0013-H-PPA-KA-140|in achimal yaníl xowé'
M06-24-003-0013-H-PPA-KA-141|ne'ets tin achim k'alam
M06-24-003-0013-H-PPA-KA-142|in achim ti we'él
M06-24-003-0013-H-PPA-KA-143|an ko'nélchik yab u achim
M06-24-003-0013-H-PPA-KA-144|an mimláb yab i dhit'om
M06-24-003-0013-H-PPA-KA-145|an mimlábchik nixé' yab in nujul
M06-24-003-0013-H-PPA-KA-146|nixé' an yejtse inikchik yab i t'ojnal inik
M06-24-003-0013-H-PPA-KA-147|nixé' xi inik yab jan eyal
M06-24-003-0013-H-PPA-KA-148|an tsakam yab ne'ets kin t'aja' ti labidh ilálix
M06-24-003-0013-H-PPA-KA-149|nixé' xi ts'ik'ách yab ne'ets kin t'aja' ti exóbchix
M06-24-003-0013-H-PPA-KA-150|nixé' xi tsakamchik kwitól yab ne'ets kin t'aja' ti labidh ilálix
M06-24-003-0013-H-PPA-KA-151|nixé' xi ts'ik'áchik yab ne'ets kin t'aja' ti exóbchix
M06-24-003-0013-H-PPA-KA-152|an ts'ik'ách yab in t'aja' ti exóbchix
M06-24-003-0013-H-PPA-KA-153|nixé' an yejtse inikchik yab in t'aja' ti belom ko'nél
M06-24-003-0013-H-PPA-KA-154|an kwitól yab in t'aja' ti t'énel
M06-24-003-0013-H-PPA-KA-155|nixé' xi ts'ik'áchik yab in t'aja' ti t'ochichíl al altá
M06-24-003-0013-H-PPA-KA-156|in ts'ik'áchil yaba' k'ale t'u'udh
M06-24-003-0013-H-PPA-KA-157|jún mimlábil yaba' k'ale ts'ik'ách
M06-24-003-0013-H-PPA-KA-158|an bél yab k'wajay k'idhab
M06-24-003-0013-H-PPA-KA-159|i k'ichá yab k'wajay tsamay
M06-24-003-0013-H-PPA-KA-160|i k'imá' yaba' púlik
M06-24-003-0013-H-PPA-KA-161|a Juan yaba' kwitom
M06-24-003-0013-H-PPA-KA-162|i pik'wal yaba' t'unu'
M06-24-003-0013-H-PPA-KA-163|María yaba' yejnek
M06-24-003-0013-H-PPA-KA-164|an ts'ik'áchil yab ne'ets ka k'wajay waynek
M06-24-003-0013-H-PPA-KA-165|in ebchalchik yab ne'ets ka k'wajay tsipichik
M06-24-003-0013-H-PPA-KA-166|an utsnél ts'aik yab ne'ets ka k'ale alwa'
M06-24-003-0013-H-PPA-KA-167|an wichik yab ne'ets ka k'wajay alabél
M06-24-003-0013-H-PPA-KA-168|an pik'o' yaba' k'wajat elébil an atá
M06-24-003-0013-H-PPA-KA-169|an pik'o' yaba' k'wajay elébil an atá
M06-24-003-0013-H-PPA-KA-170|an pik'o' yaba' ne'ets ka k'wajay tin elébil an altá
M06-24-003-0013-H-PPA-KA-171|an tsakamchik k'wajat altá ban atá exobintaláb
M06-24-003-0013-H-PPA-KA-172|an tsakamchik yaba' k'wajay altá ban atá exobintaláb
M06-24-003-0013-H-PPA-KA-173|an tsakamchik yaba' ne'ets ka k'wajay al an altá atá exobintaláb
M06-24-003-0013-H-PPA-KA-174|an mitsu' yaba' k'wajat walk'i' ban te'
M06-24-003-0013-H-PPA-KA-175|an xalkuy yab ne'ets ka k'wajay ban mexa
M06-24-003-0013-H-PPA-KA-176|an way yaba' k'wajat walte' ban koxtal
M06-24-003-0013-H-PPA-KA-177|an bichim yaba' k'wajay elébil an atá
M06-24-003-0013-H-PPA-KA-178|an ts'u'u yaba' k'wajat elébil an atá
M06-24-003-0013-H-PPA-KA-179|an pajabláb i yaba' k'wajay al k'al an waytaláb
M06-24-003-0013-H-PPA-KA-180|¿jita' ne'ets an dhitom?
M06-24-003-0013-H-PPA-KA-181|¿jiché' xi k'wajat an dhitom?
M06-24-003-0013-H-PPA-KA-182|¿jiché' wám an t'ojal inik?
M06-24-003-0013-H-PPA-KA-183|¿jita' wám an eyal?
M06-24-003-0013-H-PPA-KA-184|¿jita' wám ne'ets  ti lábil ilálix?
M06-24-003-0013-H-PPA-KA-185|¿jita' wám ne'ets ti exóbchix?
M06-24-003-0013-H-PPA-KA-186|¿jichi wám ne'ets ti labidh ilálix?
M06-24-003-0013-H-PPA-KA-187|¿jichi wám ne'ets ti exóbchix?
M06-24-003-0013-H-PPA-KA-188|¿jita' wám  nixé'  in t'aja' ti exóbchix?
M06-24-003-0013-H-PPA-KA-189|¿jichi wám  nixi in t'aja'ti  ne'ets kin t'aja' ti belom ko'nelchik?
M06-24-003-0013-H-PPA-KA-190|¿jita' wám in t'aja' ti t'énel?
M06-24-003-0013-H-PPA-KA-191|¿jichi wám in t'aja' ti t'ochichíl al an altá?
M06-24-003-0013-H-PPA-KA-192a|¿jichi k'ale t'u'udh?
M06-24-003-0013-H-PPA-KA-192b|¿jichi wám k'ale  t'u'udh?
M06-24-003-0013-H-PPA-KA-193a|¿jichi wám k'ale kwitól?
M06-24-003-0013-H-PPA-KA-193b|¿jichi wám in t'aja' kwitól?
M06-24-003-0013-H-PPA-KA-194|¿jichiy wám in t'aja' k'idhab?
M06-24-003-0013-H-PPA-KA-195|¿kwam k'wajay tsamay?
M06-24-003-0013-H-PPA-KA-196|¿janti nix púlik?
M06-24-003-0013-H-PPA-KA-197|¿jiche nix wám xi tsalpadh?
M06-24-003-0013-H-PPA-KA-198|¿jiche wám xi t'unu'chik?
M06-24-003-0013-H-PPA-KA-199|¿jiche wám xi yejnek?
M06-24-003-0013-H-PPA-KA-200|¿jiche wám ne'ets ki k'wajay waynek?
M06-24-003-0013-H-PPA-KA-201|¿jichi wám xi tsipichik?
M06-24-003-0013-H-PPA-KA-202|¿ja wám xi alwa'?
M06-24-003-0013-H-PPA-KA-203|¿jaw xi wám xi alabél?
M06-24-003-0013-H-PPA-KA-204|¿jita' k'wajat tin lébil an atá?
M06-24-003-0013-H-PPA-KA-205|¿jichi xi  k'wajat tu altá ban atá exobintaláb?
M06-24-003-0013-H-PPA-KA-206|¿jiche ti wám walk'i' ban te'?
M06-24-003-0013-H-PPA-KA-207|¿janche xi wám ta k'wajat ban mexa?
M06-24-003-0013-H-PPA-KA-208|¿jateney ix ta kwatbadh an koxtál?
M06-24-003-0013-H-PPA-KA-209|¿jantey ta kwatbal elébil an atá?
M06-24-003-0013-H-PPA-KA-210|¿janti wám ix ta k'wajat an tu ts'ejkab an k'apnél?
M06-24-003-0013-H-PPA-KA-211|¿jantin wám ta k'wajat ti altá  ban waytaláb?
M06-24-003-0013-H-PPA-KA-212|¿janti wa'ats al an atá?
M06-24-003-0013-H-PPA-KA-213|¿janti wám wa'ats al an púlik itse'?
M06-24-003-0013-H-PPA-KA-214|¿janti wa'atsin ti we'él ban jún tu mulkunal yán an bichow?
M06-24-003-0013-H-PPA-KA-215|¿jita k'wajay wám k'al an ajib?
M06-24-003-0013-H-PPA-KA-216|¿jiche ne'ets ki k'wajay ban mulkuntaláb?
M06-24-003-0013-H-PPA-KA-217|¿janti wám ne'ets  ka wa' ti kalám?
M06-24-003-0013-H-PPA-KA-218|¿jichi wám u ádhil?
M06-24-003-0013-H-PPA-KA-219|¿jichiy wayal?
M06-24-003-0013-H-PPA-KA-220|¿jichi u beladh?
M06-24-003-0013-H-PPA-KA-221|¿jichi wám xi tsemets?
M06-24-003-0013-H-PPA-KA-222|¿jichi tin tsu'uw?
M06-24-003-0013-H-PPA-KA-223|¿jita' ti tsu'uw?
M06-24-003-0013-H-PPA-KA-224|¿jita tin tsu'uw?
M06-24-003-0013-H-PPA-KA-225|¿jita' tu tsu'uw?
M06-24-003-0013-H-PPA-KA-226|¿jita' ti tsu'uwchik xaxá'?
M06-24-003-0013-H-PPA-KA-227|¿jita' ti tsu'tachik jajá'?
M06-24-003-0013-H-PPA-KA-228|¿jitin tsu'uchik pik'o'?
M06-24-003-0013-H-PPA-KA-229|¿jichi k'apal an bakan?
M06-24-003-0013-H-PPA-KA-230|¿jichiy ti nujchiy jún píta'?
M06-24-003-0013-H-PPA-KA-231|¿jiti nujchy wám jún a k'imá'?
M06-24-003-0013-H-PPA-KA-232|¿jichiy in pidha' an wits a Guadalupe?
M06-24-003-0013-H-PPA-KA-233|¿jita' ne'ets kin pidha' an ja' an pik'o'?
M06-24-003-0013-H-PPA-KA-234|¿jita' ne'ets ti ts'ejwali wám u waliláb?
M06-24-003-0013-H-PPA-KA-235|¿jita' tu ts'ejwali an k'apnél?
M06-24-003-0013-H-PPA-KA-236|¿jita ti ts'a'ichichik xaxá' jún i matset?x
M06-24-003-0013-H-PPA-KA-237|¿jita' wám ne'ets ka ts'a'ichichik tu jajá'chik k'al jún i pakax?
M06-24-003-0013-H-PPA-KA-238|¿juta ti k'wajat an pik'o'?
M06-24-003-0013-H-PPA-KA-239|¿juta ti k'wajatchik an tsakam?
M06-24-003-0013-H-PPA-KA-240|¿juta ti k'wajat an mitsu'?
M06-24-003-0013-H-PPA-KA-241|¿juta ti k'wajay an xalk'uy?
M06-24-003-0013-H-PPA-KA-242|¿juta ti k'wajat an way?
M06-24-003-0013-H-PPA-KA-243|¿juta ti k'wajat an bichim?
M06-24-003-0013-H-PPA-KA-244|¿juta ti k'wajat an tsu'up?
M06-24-003-0013-H-PPA-KA-245|¿juta ti k'wajat an pajabláb?
M06-24-003-0013-H-PPA-KA-246|¿jita' tsu'uw?
M06-24-003-0013-H-PPA-KA-247|¿jita' tu tsu'uw?
M06-24-003-0013-H-PPA-KA-248|¿jita' tsu'uw?
M06-24-003-0013-H-PPA-KA-249|¿jita' in tsu'uw a Juan?
M06-24-003-0013-H-PPA-KA-250|¿jita' ne'ets kin tsu'uw?
M06-24-003-0013-H-PPA-KA-251|¿jita' ne'ets kin tsu'uw an ts'ik'ách?
M06-24-003-0013-H-PPA-KA-252|¿janti in k'apal an tsakamchik?
M06-24-003-0013-H-PPA-KA-253|¿janti ti nujchiy a María?
M06-24-003-0013-H-PPA-KA-254|¿tének ki nujchiy ban jún i píta' an María?
M06-24-003-0013-H-PPA-KA-255|¿janti ti nujchil a María?
M06-24-003-0013-H-PPA-KA-256|¿janto wám ne'ets kin nujchiy a María jún i atá?
M06-24-003-0013-H-PPA-KA-257|¿jita' wám in pidhál a Carmen jún i wits?
M06-24-003-0013-H-PPA-KA-258|¿janti in pidha' a Carmen a Guadalupe?
M06-24-003-0013-H-PPA-KA-259|¿jita' ne'ets kin pidha' an ja' a Carmen?
M06-24-003-0013-H-PPA-KA-260|¿janti ne'ets kin pidha' an Carmen an pik'o'?
M06-24-003-0013-H-PPA-KA-261|¿jita ne'ets kin ts'ejwali jún i waliláb a papá?
M06-24-003-0013-H-PPA-KA-262|¿janti ne'ets tu ts'ejwali a papá?
M06-24-003-0013-H-PPA-KA-263|¿jita' ti ts'ejwali tu wám an k'apnél a papá?
M06-24-003-0013-H-PPA-KA-264|¿janti tu ts'ejwali a papá?
M06-24-003-0013-H-PPA-KA-265|¿jitin ts'a'ichiy wám a José jún i matset?
M06-24-003-0013-H-PPA-KA-266|¿janti tit ts'a'ichichik xaxá' a José?
M06-24-003-0013-H-PPA-KA-267|¿jito wám  ne'ets kin ts'a'ichiy a José jún i pakax?
M06-24-003-0013-H-PPA-KA-268|¿janti ne'ets ti ts'a'ichichik xaxá' a José?
M06-24-003-0013-H-PPA-KA-269|an uxum u wayal yaníl
M06-24-003-0013-H-PPA-KA-270|an uxum k'wajat ti wayal
M06-24-003-0013-H-PPA-KA-271|Juan in k'apal an bakan
M06-24-003-0013-H-PPA-KA-272|na Juan k'wajat in k'apal i bakan
M06-24-003-0013-H-PPA-KA-273|an mimláb owey ti wayal
M06-24-003-0013-H-PPA-KA-274|a Juan in k'apuw an bakan
M06-24-003-0013-H-PPA-KA-275|an mimláb lej yanílits wayámadh
M06-24-003-0013-H-PPA-KA-276|Juan in k'apumal yán i bakan
M06-24-003-0013-H-PPA-KA-277|an mimláb ne'ets ka oey ti wayal
M06-24-003-0013-H-PPA-KA-278|an mimláb k'wajinek ti wayal yaníl
M06-24-003-0013-H-PPA-KA-279|a Juan ne'ets kin k'apuw an bakan
M06-24-003-0013-H-PPA-KA-280|Juan in k'apumal i bakan
M06-24-003-0013-H-PPA-KA-281|tin lé'
M06-24-003-0013-H-PPA-KA-282|tu lé'
M06-24-003-0013-H-PPA-KA-283|watadh tu lé'
M06-24-003-0013-H-PPA-KA-284|tu lé'chik
M06-24-003-0013-H-PPA-KA-285|u lé'chik
M06-24-003-0013-H-PPA-KA-286|a lé'
M06-24-003-0013-H-PPA-KA-287|tu lé'
M06-24-003-0013-H-PPA-KA-288|a lé'
M06-24-003-0013-H-PPA-KA-289|tin lé'
M06-24-003-0013-H-PPA-KA-290|ti lé'
M06-24-003-0013-H-PPA-KA-291|u lé' watadh
M06-24-003-0013-H-PPA-KA-292|tu lé'
M06-24-003-0013-H-PPA-KA-293|i lé'
M06-24-003-0013-H-PPA-KA-294|in lé'
M06-24-003-0013-H-PPA-KA-295|tu yejenchalchik
M06-24-003-0013-H-PPA-KA-296|i yejenchal
M06-24-003-0013-H-PPA-KA-297|i yejenchal
M06-24-003-0013-H-PPA-KA-298|i yejenchal
M06-24-003-0013-H-PPA-KA-299|in lé'na'
M06-24-003-0013-H-PPA-KA-300|u lé'na'
M06-24-003-0013-H-PPA-KA-301|u le'náb
M06-24-003-0013-H-PPA-KA-302|u le'nábchik
M06-24-003-0013-H-PPA-KA-303|in le'náb
M06-24-003-0013-H-PPA-KA-304|it le'náb
M06-24-003-0013-H-PPA-KA-305|u le'náb 
M06-24-003-0013-H-PPA-KA-306|u le'náb ti yanél
M06-24-003-0013-H-PPA-KA-307|u le'náb
M06-24-003-0013-H-PPA-KA-308|u le'nábchik
M06-24-003-0013-H-PPA-KA-309|k'wajat u le'nál
M06-24-003-0013-H-PPA-KA-310|jún i pik'o'
M06-24-003-0013-H-PPA-KA-311|an pik'o'
M06-24-003-0013-H-PPA-KA-312|wa'ats an pik'o'
M06-24-003-0013-H-PPA-KA-313|an pik'o'chik
M06-24-003-0013-H-PPA-KA-314|exe xi tsakam
M06-24-003-0013-H-PPA-KA-315|exe xi tsakam ts'ik'ách
M06-24-003-0013-H-PPA-KA-316|exe xi tsakam kwitólchik
M06-24-003-0013-H-PPA-KA-317|exe xi tsakam ts'ik'ách
M06-24-003-0013-H-PPA-KA-318|nixé' xi kwitól
M06-24-003-0013-H-PPA-KA-319|nixé' xi kwitólchik
M06-24-003-0013-H-PPA-KA-320|nixé' xi ts'ik'ách
M06-24-003-0013-H-PPA-KA-321|nixé' xi ts'ik'áchik
M06-24-003-0013-H-PPA-KA-322|nixé' xi niwan ts'ik'ách
M06-24-003-0013-H-PPA-KA-323|axi niwan chikam ts'ik'ách
M06-24-003-0013-H-PPA-KA-324|xi niwan kwitól
M06-24-003-0013-H-PPA-KA-325|axi niwan chikam kwitól
M06-24-003-0013-H-PPA-KA-326|jún i te'
M06-24-003-0013-H-PPA-KA-327|tsáb i te'
M06-24-003-0013-H-PPA-KA-328|óx i te' 
M06-24-003-0013-H-PPA-KA-329|tsé' i te'
M06-24-003-0013-H-PPA-KA-330|bó' i te'
M06-24-003-0013-H-PPA-KA-331|jún i tsakam mitsu'
M06-24-003-0013-H-PPA-KA-332|nixé'  xi tsáb i ts'ik'ách pakdha'
M06-24-003-0013-H-PPA-KA-333|xi tsé' i pik'o' tsokoy ani t'u'udh
M06-24-003-0013-H-PPA-KA-334|nixé' in lakab biyal an mimláb axi niwa' yejnek
M06-24-003-0013-H-PPA-KA-335|naná' ne'ets in k'al tin koyol
M06-24-003-0013-H-PPA-KA-336|naná' in koyots
M06-24-003-0013-H-PPA-KA-337|tatá' it ne'ets ka k'apuw an bakan
M06-24-003-0013-H-PPA-KA-338|tatá' ne'ets ki k'aputs kalám
M06-24-003-0013-H-PPA-KA-339|an tsakamchik ne'ets ti wayal tam dhamdhúl
M06-24-003-0013-H-PPA-KA-340|an tsakamchik u ne'ets ka wayits
M06-24-003-0013-H-PPA-KA-341|jajá'chik k'wajat ti exóbal
